location,level,normalThreshold,alertThreshold,criticalThreshold,recordedAt
Gampaha,3.06,2.0,3.0,3.8,2024-06-24T00:00:00.000Z
Ja-Ela,3.96,2.0,3.0,3.8,2024-06-24T00:00:00.000Z
Negombo,4.06,2.0,3.0,3.8,2024-06-24T00:00:00.000Z
Minuwangoda,3.51,2.0,3.0,3.8,2024-06-25T00:00:00.000Z
Gampaha,3.06,2.0,3.0,3.8,2024-06-25T00:00:00.000Z
Ja-Ela,4.78,2.0,3.0,3.8,2024-06-25T00:00:00.000Z
Negombo,3.63,2.0,3.0,3.8,2024-06-25T00:00:00.000Z
Minuwangoda,3.95,2.0,3.0,3.8,2024-06-26T00:00:00.000Z
Gampaha,3.25,2.0,3.0,3.8,2024-06-26T00:00:00.000Z
Ja-Ela,4.37,2.0,3.0,3.8,2024-06-26T00:00:00.000Z
Negombo,3.77,2.0,3.0,3.8,2024-06-26T00:00:00.000Z
Minuwangoda,4.43,2.0,3.0,3.8,2024-06-27T00:00:00.000Z
Gampaha,4.01,2.0,3.0,3.8,2024-06-27T00:00:00.000Z
Ja-Ela,3.43,2.0,3.0,3.8,2024-06-27T00:00:00.000Z
Negombo,3.34,2.0,3.0,3.8,2024-06-27T00:00:00.000Z
Minuwangoda,3.67,2.0,3.0,3.8,2024-06-28T00:00:00.000Z
Gampaha,4.79,2.0,3.0,3.8,2024-06-28T00:00:00.000Z
Ja-Ela,3.58,2.0,3.0,3.8,2024-06-28T00:00:00.000Z
Negombo,4.69,2.0,3.0,3.8,2024-06-28T00:00:00.000Z
Minuwangoda,4.95,2.0,3.0,3.8,2024-06-29T00:00:00.000Z
Gampaha,4.33,2.0,3.0,3.8,2024-06-29T00:00:00.000Z
Ja-Ela,3.72,2.0,3.0,3.8,2024-06-29T00:00:00.000Z
Negombo,3.45,2.0,3.0,3.8,2024-06-29T00:00:00.000Z
Minuwangoda,4.60,2.0,3.0,3.8,2024-06-30T00:00:00.000Z
Gampaha,4.78,2.0,3.0,3.8,2024-06-30T00:00:00.000Z
Ja-Ela,4.79,2.0,3.0,3.8,2024-06-30T00:00:00.000Z
Negombo,3.23,2.0,3.0,3.8,2024-06-30T00:00:00.000Z
Minuwangoda,3.34,2.0,3.0,3.8,2024-07-01T00:00:00.000Z
Gampaha,3.10,2.0,3.0,3.8,2024-07-01T00:00:00.000Z
Ja-Ela,4.12,2.0,3.0,3.8,2024-07-01T00:00:00.000Z
Negombo,4.61,2.0,3.0,3.8,2024-07-01T00:00:00.000Z
Minuwangoda,4.93,2.0,3.0,3.8,2024-07-02T00:00:00.000Z
Gampaha,4.65,2.0,3.0,3.8,2024-07-02T00:00:00.000Z
Ja-Ela,3.19,2.0,3.0,3.8,2024-07-02T00:00:00.000Z
Negombo,4.53,2.0,3.0,3.8,2024-07-02T00:00:00.000Z
Minuwangoda,4.59,2.0,3.0,3.8,2024-07-03T00:00:00.000Z
Gampaha,4.87,2.0,3.0,3.8,2024-07-03T00:00:00.000Z
Ja-Ela,4.31,2.0,3.0,3.8,2024-07-03T00:00:00.000Z
Negombo,4.39,2.0,3.0,3.8,2024-07-03T00:00:00.000Z
Minuwangoda,3.57,2.0,3.0,3.8,2024-07-04T00:00:00.000Z
Gampaha,3.70,2.0,3.0,3.8,2024-07-04T00:00:00.000Z
Ja-Ela,3.57,2.0,3.0,3.8,2024-07-04T00:00:00.000Z
Negombo,3.40,2.0,3.0,3.8,2024-07-04T00:00:00.000Z
Minuwangoda,3.44,2.0,3.0,3.8,2024-07-05T00:00:00.000Z
Gampaha,3.62,2.0,3.0,3.8,2024-07-05T00:00:00.000Z
Ja-Ela,4.67,2.0,3.0,3.8,2024-07-05T00:00:00.000Z
Negombo,3.19,2.0,3.0,3.8,2024-07-05T00:00:00.000Z
Minuwangoda,3.36,2.0,3.0,3.8,2024-07-06T00:00:00.000Z
Gampaha,4.55,2.0,3.0,3.8,2024-07-06T00:00:00.000Z
Ja-Ela,4.42,2.0,3.0,3.8,2024-07-06T00:00:00.000Z
Negombo,3.56,2.0,3.0,3.8,2024-07-06T00:00:00.000Z
Minuwangoda,4.48,2.0,3.0,3.8,2024-07-07T00:00:00.000Z
Gampaha,3.24,2.0,3.0,3.8,2024-07-07T00:00:00.000Z
Ja-Ela,3.60,2.0,3.0,3.8,2024-07-07T00:00:00.000Z
Negombo,4.84,2.0,3.0,3.8,2024-07-07T00:00:00.000Z
Minuwangoda,4.79,2.0,3.0,3.8,2024-07-08T00:00:00.000Z
Gampaha,3.39,2.0,3.0,3.8,2024-07-08T00:00:00.000Z
Ja-Ela,3.41,2.0,3.0,3.8,2024-07-08T00:00:00.000Z
Negombo,4.48,2.0,3.0,3.8,2024-07-08T00:00:00.000Z
Minuwangoda,3.59,2.0,3.0,3.8,2024-07-09T00:00:00.000Z
Gampaha,3.16,2.0,3.0,3.8,2024-07-09T00:00:00.000Z
Ja-Ela,3.53,2.0,3.0,3.8,2024-07-09T00:00:00.000Z
Negombo,3.34,2.0,3.0,3.8,2024-07-09T00:00:00.000Z
Minuwangoda,3.85,2.0,3.0,3.8,2024-07-10T00:00:00.000Z
Gampaha,3.89,2.0,3.0,3.8,2024-07-10T00:00:00.000Z
Ja-Ela,3.01,2.0,3.0,3.8,2024-07-10T00:00:00.000Z
Negombo,3.04,2.0,3.0,3.8,2024-07-10T00:00:00.000Z
Minuwangoda,3.31,2.0,3.0,3.8,2024-07-11T00:00:00.000Z
Gampaha,3.04,2.0,3.0,3.8,2024-07-11T00:00:00.000Z
Ja-Ela,4.18,2.0,3.0,3.8,2024-07-11T00:00:00.000Z
Negombo,4.41,2.0,3.0,3.8,2024-07-11T00:00:00.000Z
Minuwangoda,4.07,2.0,3.0,3.8,2024-07-12T00:00:00.000Z
Gampaha,4.22,2.0,3.0,3.8,2024-07-12T00:00:00.000Z
Ja-Ela,4.21,2.0,3.0,3.8,2024-07-12T00:00:00.000Z
Negombo,4.09,2.0,3.0,3.8,2024-07-12T00:00:00.000Z
Minuwangoda,4.70,2.0,3.0,3.8,2024-07-13T00:00:00.000Z
Gampaha,3.44,2.0,3.0,3.8,2024-07-13T00:00:00.000Z
Ja-Ela,4.74,2.0,3.0,3.8,2024-07-13T00:00:00.000Z
Negombo,4.50,2.0,3.0,3.8,2024-07-13T00:00:00.000Z
Minuwangoda,3.63,2.0,3.0,3.8,2024-07-14T00:00:00.000Z
Gampaha,3.75,2.0,3.0,3.8,2024-07-14T00:00:00.000Z
Ja-Ela,3.72,2.0,3.0,3.8,2024-07-14T00:00:00.000Z
Negombo,4.05,2.0,3.0,3.8,2024-07-14T00:00:00.000Z
Minuwangoda,3.15,2.0,3.0,3.8,2024-07-15T00:00:00.000Z
Gampaha,3.33,2.0,3.0,3.8,2024-07-15T00:00:00.000Z
Ja-Ela,4.53,2.0,3.0,3.8,2024-07-15T00:00:00.000Z
Negombo,4.70,2.0,3.0,3.8,2024-07-15T00:00:00.000Z
Minuwangoda,4.84,2.0,3.0,3.8,2024-07-16T00:00:00.000Z
Gampaha,3.40,2.0,3.0,3.8,2024-07-16T00:00:00.000Z
Ja-Ela,3.34,2.0,3.0,3.8,2024-07-16T00:00:00.000Z
Negombo,3.70,2.0,3.0,3.8,2024-07-16T00:00:00.000Z
Minuwangoda,4.17,2.0,3.0,3.8,2024-07-17T00:00:00.000Z
Gampaha,4.20,2.0,3.0,3.8,2024-07-17T00:00:00.000Z
Ja-Ela,3.14,2.0,3.0,3.8,2024-07-17T00:00:00.000Z
Negombo,3.50,2.0,3.0,3.8,2024-07-17T00:00:00.000Z
Minuwangoda,4.87,2.0,3.0,3.8,2024-07-18T00:00:00.000Z
Gampaha,4.64,2.0,3.0,3.8,2024-07-18T00:00:00.000Z
Ja-Ela,3.24,2.0,3.0,3.8,2024-07-18T00:00:00.000Z
Negombo,3.44,2.0,3.0,3.8,2024-07-18T00:00:00.000Z
Minuwangoda,3.84,2.0,3.0,3.8,2024-07-19T00:00:00.000Z
Gampaha,4.26,2.0,3.0,3.8,2024-07-19T00:00:00.000Z
Ja-Ela,4.16,2.0,3.0,3.8,2024-07-19T00:00:00.000Z
Negombo,4.36,2.0,3.0,3.8,2024-07-19T00:00:00.000Z
Minuwangoda,4.09,2.0,3.0,3.8,2024-07-20T00:00:00.000Z
Gampaha,3.78,2.0,3.0,3.8,2024-07-20T00:00:00.000Z
Ja-Ela,3.53,2.0,3.0,3.8,2024-07-20T00:00:00.000Z
Negombo,4.64,2.0,3.0,3.8,2024-07-20T00:00:00.000Z
Minuwangoda,3.82,2.0,3.0,3.8,2024-07-21T00:00:00.000Z
Gampaha,4.37,2.0,3.0,3.8,2024-07-21T00:00:00.000Z
Ja-Ela,4.52,2.0,3.0,3.8,2024-07-21T00:00:00.000Z
Negombo,4.52,2.0,3.0,3.8,2024-07-21T00:00:00.000Z
Minuwangoda,3.36,2.0,3.0,3.8,2024-07-22T00:00:00.000Z
Gampaha,3.32,2.0,3.0,3.8,2024-07-22T00:00:00.000Z
Ja-Ela,4.07,2.0,3.0,3.8,2024-07-22T00:00:00.000Z
Negombo,4.07,2.0,3.0,3.8,2024-07-22T00:00:00.000Z
Minuwangoda,4.01,2.0,3.0,3.8,2024-07-23T00:00:00.000Z
Gampaha,4.04,2.0,3.0,3.8,2024-07-23T00:00:00.000Z
Ja-Ela,3.05,2.0,3.0,3.8,2024-07-23T00:00:00.000Z
Negombo,3.22,2.0,3.0,3.8,2024-07-23T00:00:00.000Z
Minuwangoda,4.35,2.0,3.0,3.8,2024-07-24T00:00:00.000Z
Gampaha,3.59,2.0,3.0,3.8,2024-07-24T00:00:00.000Z
Ja-Ela,3.78,2.0,3.0,3.8,2024-07-24T00:00:00.000Z
Negombo,3.12,2.0,3.0,3.8,2024-07-24T00:00:00.000Z
Minuwangoda,3.49,2.0,3.0,3.8,2024-07-25T00:00:00.000Z
Gampaha,4.04,2.0,3.0,3.8,2024-07-25T00:00:00.000Z
Ja-Ela,4.28,2.0,3.0,3.8,2024-07-25T00:00:00.000Z
Negombo,4.38,2.0,3.0,3.8,2024-07-25T00:00:00.000Z
Minuwangoda,4.15,2.0,3.0,3.8,2024-07-26T00:00:00.000Z
Gampaha,3.11,2.0,3.0,3.8,2024-07-26T00:00:00.000Z
Ja-Ela,4.43,2.0,3.0,3.8,2024-07-26T00:00:00.000Z
Negombo,3.26,2.0,3.0,3.8,2024-07-26T00:00:00.000Z
Minuwangoda,3.60,2.0,3.0,3.8,2024-07-27T00:00:00.000Z
Gampaha,3.18,2.0,3.0,3.8,2024-07-27T00:00:00.000Z
Ja-Ela,4.02,2.0,3.0,3.8,2024-07-27T00:00:00.000Z
Negombo,3.51,2.0,3.0,3.8,2024-07-27T00:00:00.000Z
Minuwangoda,3.48,2.0,3.0,3.8,2024-07-28T00:00:00.000Z
Gampaha,4.18,2.0,3.0,3.8,2024-07-28T00:00:00.000Z
Ja-Ela,4.57,2.0,3.0,3.8,2024-07-28T00:00:00.000Z
Negombo,4.62,2.0,3.0,3.8,2024-07-28T00:00:00.000Z
Minuwangoda,3.15,2.0,3.0,3.8,2024-07-29T00:00:00.000Z
Gampaha,3.95,2.0,3.0,3.8,2024-07-29T00:00:00.000Z
Ja-Ela,3.20,2.0,3.0,3.8,2024-07-29T00:00:00.000Z
Negombo,3.49,2.0,3.0,3.8,2024-07-29T00:00:00.000Z
Minuwangoda,3.10,2.0,3.0,3.8,2024-07-30T00:00:00.000Z
Gampaha,4.18,2.0,3.0,3.8,2024-07-30T00:00:00.000Z
Ja-Ela,4.31,2.0,3.0,3.8,2024-07-30T00:00:00.000Z
Negombo,3.06,2.0,3.0,3.8,2024-07-30T00:00:00.000Z
Minuwangoda,3.47,2.0,3.0,3.8,2024-07-31T00:00:00.000Z
Gampaha,4.18,2.0,3.0,3.8,2024-07-31T00:00:00.000Z
Ja-Ela,3.12,2.0,3.0,3.8,2024-07-31T00:00:00.000Z
Negombo,4.08,2.0,3.0,3.8,2024-07-31T00:00:00.000Z
Minuwangoda,4.16,2.0,3.0,3.8,2024-08-01T00:00:00.000Z
Gampaha,3.12,2.0,3.0,3.8,2024-08-01T00:00:00.000Z
Ja-Ela,3.79,2.0,3.0,3.8,2024-08-01T00:00:00.000Z
Negombo,3.69,2.0,3.0,3.8,2024-08-01T00:00:00.000Z
Minuwangoda,4.72,2.0,3.0,3.8,2024-08-02T00:00:00.000Z
Gampaha,4.09,2.0,3.0,3.8,2024-08-02T00:00:00.000Z
Ja-Ela,4.05,2.0,3.0,3.8,2024-08-02T00:00:00.000Z
Negombo,4.88,2.0,3.0,3.8,2024-08-02T00:00:00.000Z
Minuwangoda,4.93,2.0,3.0,3.8,2024-08-03T00:00:00.000Z
Gampaha,3.53,2.0,3.0,3.8,2024-08-03T00:00:00.000Z
Ja-Ela,3.64,2.0,3.0,3.8,2024-08-03T00:00:00.000Z
Negombo,4.57,2.0,3.0,3.8,2024-08-03T00:00:00.000Z
Minuwangoda,4.89,2.0,3.0,3.8,2024-08-04T00:00:00.000Z
Gampaha,3.05,2.0,3.0,3.8,2024-08-04T00:00:00.000Z
Ja-Ela,3.03,2.0,3.0,3.8,2024-08-04T00:00:00.000Z
Negombo,4.61,2.0,3.0,3.8,2024-08-04T00:00:00.000Z
Minuwangoda,4.33,2.0,3.0,3.8,2024-08-05T00:00:00.000Z
Gampaha,4.53,2.0,3.0,3.8,2024-08-05T00:00:00.000Z
Ja-Ela,3.06,2.0,3.0,3.8,2024-08-05T00:00:00.000Z
Negombo,3.89,2.0,3.0,3.8,2024-08-05T00:00:00.000Z
Minuwangoda,3.39,2.0,3.0,3.8,2024-08-06T00:00:00.000Z
Gampaha,4.28,2.0,3.0,3.8,2024-08-06T00:00:00.000Z
Ja-Ela,3.83,2.0,3.0,3.8,2024-08-06T00:00:00.000Z
Negombo,3.50,2.0,3.0,3.8,2024-08-06T00:00:00.000Z
Minuwangoda,4.53,2.0,3.0,3.8,2024-08-07T00:00:00.000Z
Gampaha,4.87,2.0,3.0,3.8,2024-08-07T00:00:00.000Z
Ja-Ela,3.27,2.0,3.0,3.8,2024-08-07T00:00:00.000Z
Negombo,3.88,2.0,3.0,3.8,2024-08-07T00:00:00.000Z
Minuwangoda,4.02,2.0,3.0,3.8,2024-08-08T00:00:00.000Z
Gampaha,3.44,2.0,3.0,3.8,2024-08-08T00:00:00.000Z
Ja-Ela,3.13,2.0,3.0,3.8,2024-08-08T00:00:00.000Z
Negombo,3.39,2.0,3.0,3.8,2024-08-08T00:00:00.000Z
Minuwangoda,4.77,2.0,3.0,3.8,2024-08-09T00:00:00.000Z
Gampaha,4.56,2.0,3.0,3.8,2024-08-09T00:00:00.000Z
Ja-Ela,3.80,2.0,3.0,3.8,2024-08-09T00:00:00.000Z
Negombo,3.68,2.0,3.0,3.8,2024-08-09T00:00:00.000Z
Minuwangoda,4.72,2.0,3.0,3.8,2024-08-10T00:00:00.000Z
Gampaha,4.58,2.0,3.0,3.8,2024-08-10T00:00:00.000Z
Ja-Ela,4.73,2.0,3.0,3.8,2024-08-10T00:00:00.000Z
Negombo,3.80,2.0,3.0,3.8,2024-08-10T00:00:00.000Z
Minuwangoda,3.87,2.0,3.0,3.8,2024-08-11T00:00:00.000Z
Gampaha,4.58,2.0,3.0,3.8,2024-08-11T00:00:00.000Z
Ja-Ela,4.56,2.0,3.0,3.8,2024-08-11T00:00:00.000Z
Negombo,4.94,2.0,3.0,3.8,2024-08-11T00:00:00.000Z
Minuwangoda,3.91,2.0,3.0,3.8,2024-08-12T00:00:00.000Z
Gampaha,4.96,2.0,3.0,3.8,2024-08-12T00:00:00.000Z
Ja-Ela,4.17,2.0,3.0,3.8,2024-08-12T00:00:00.000Z
Negombo,3.50,2.0,3.0,3.8,2024-08-12T00:00:00.000Z
Minuwangoda,3.63,2.0,3.0,3.8,2024-08-13T00:00:00.000Z
Gampaha,4.25,2.0,3.0,3.8,2024-08-13T00:00:00.000Z
Ja-Ela,4.48,2.0,3.0,3.8,2024-08-13T00:00:00.000Z
Negombo,4.02,2.0,3.0,3.8,2024-08-13T00:00:00.000Z
Minuwangoda,4.31,2.0,3.0,3.8,2024-08-14T00:00:00.000Z
Gampaha,4.37,2.0,3.0,3.8,2024-08-14T00:00:00.000Z
Ja-Ela,4.53,2.0,3.0,3.8,2024-08-14T00:00:00.000Z
Negombo,4.18,2.0,3.0,3.8,2024-08-14T00:00:00.000Z
Minuwangoda,4.74,2.0,3.0,3.8,2024-08-15T00:00:00.000Z
Gampaha,3.90,2.0,3.0,3.8,2024-08-15T00:00:00.000Z
Ja-Ela,3.62,2.0,3.0,3.8,2024-08-15T00:00:00.000Z
Negombo,4.46,2.0,3.0,3.8,2024-08-15T00:00:00.000Z
Minuwangoda,3.21,2.0,3.0,3.8,2024-08-16T00:00:00.000Z
Gampaha,3.70,2.0,3.0,3.8,2024-08-16T00:00:00.000Z
Ja-Ela,3.75,2.0,3.0,3.8,2024-08-16T00:00:00.000Z
Negombo,3.53,2.0,3.0,3.8,2024-08-16T00:00:00.000Z
Minuwangoda,4.93,2.0,3.0,3.8,2024-08-17T00:00:00.000Z
Gampaha,4.55,2.0,3.0,3.8,2024-08-17T00:00:00.000Z
Ja-Ela,3.94,2.0,3.0,3.8,2024-08-17T00:00:00.000Z
Negombo,3.70,2.0,3.0,3.8,2024-08-17T00:00:00.000Z
Minuwangoda,3.41,2.0,3.0,3.8,2024-08-18T00:00:00.000Z
Gampaha,3.29,2.0,3.0,3.8,2024-08-18T00:00:00.000Z
Ja-Ela,3.72,2.0,3.0,3.8,2024-08-18T00:00:00.000Z
Negombo,4.40,2.0,3.0,3.8,2024-08-18T00:00:00.000Z
Minuwangoda,3.89,2.0,3.0,3.8,2024-08-19T00:00:00.000Z
Gampaha,3.31,2.0,3.0,3.8,2024-08-19T00:00:00.000Z
Ja-Ela,4.32,2.0,3.0,3.8,2024-08-19T00:00:00.000Z
Negombo,4.41,2.0,3.0,3.8,2024-08-19T00:00:00.000Z
Minuwangoda,4.65,2.0,3.0,3.8,2024-08-20T00:00:00.000Z
Gampaha,4.40,2.0,3.0,3.8,2024-08-20T00:00:00.000Z
Ja-Ela,3.33,2.0,3.0,3.8,2024-08-20T00:00:00.000Z
Negombo,3.50,2.0,3.0,3.8,2024-08-20T00:00:00.000Z
Minuwangoda,3.47,2.0,3.0,3.8,2024-08-21T00:00:00.000Z
Gampaha,3.13,2.0,3.0,3.8,2024-08-21T00:00:00.000Z
Ja-Ela,4.83,2.0,3.0,3.8,2024-08-21T00:00:00.000Z
Negombo,3.80,2.0,3.0,3.8,2024-08-21T00:00:00.000Z
Minuwangoda,4.78,2.0,3.0,3.8,2024-08-22T00:00:00.000Z
Gampaha,4.98,2.0,3.0,3.8,2024-08-22T00:00:00.000Z
Ja-Ela,4.43,2.0,3.0,3.8,2024-08-22T00:00:00.000Z
Negombo,3.96,2.0,3.0,3.8,2024-08-22T00:00:00.000Z
Minuwangoda,4.42,2.0,3.0,3.8,2024-08-23T00:00:00.000Z
Gampaha,4.13,2.0,3.0,3.8,2024-08-23T00:00:00.000Z
Ja-Ela,3.64,2.0,3.0,3.8,2024-08-23T00:00:00.000Z
Negombo,4.75,2.0,3.0,3.8,2024-08-23T00:00:00.000Z
Minuwangoda,4.52,2.0,3.0,3.8,2024-08-24T00:00:00.000Z
Gampaha,3.35,2.0,3.0,3.8,2024-08-24T00:00:00.000Z
Ja-Ela,3.50,2.0,3.0,3.8,2024-08-24T00:00:00.000Z
Negombo,4.31,2.0,3.0,3.8,2024-08-24T00:00:00.000Z
Minuwangoda,3.08,2.0,3.0,3.8,2024-08-25T00:00:00.000Z
Gampaha,4.16,2.0,3.0,3.8,2024-08-25T00:00:00.000Z
Ja-Ela,4.64,2.0,3.0,3.8,2024-08-25T00:00:00.000Z
Negombo,4.03,2.0,3.0,3.8,2024-08-25T00:00:00.000Z
Minuwangoda,4.62,2.0,3.0,3.8,2024-08-26T00:00:00.000Z
Gampaha,4.41,2.0,3.0,3.8,2024-08-26T00:00:00.000Z
Ja-Ela,4.07,2.0,3.0,3.8,2024-08-26T00:00:00.000Z
Negombo,3.38,2.0,3.0,3.8,2024-08-26T00:00:00.000Z
Minuwangoda,3.09,2.0,3.0,3.8,2024-08-27T00:00:00.000Z
Gampaha,3.53,2.0,3.0,3.8,2024-08-27T00:00:00.000Z
Ja-Ela,4.08,2.0,3.0,3.8,2024-08-27T00:00:00.000Z
Negombo,4.74,2.0,3.0,3.8,2024-08-27T00:00:00.000Z
Minuwangoda,3.58,2.0,3.0,3.8,2024-08-28T00:00:00.000Z
Gampaha,3.61,2.0,3.0,3.8,2024-08-28T00:00:00.000Z
Ja-Ela,3.68,2.0,3.0,3.8,2024-08-28T00:00:00.000Z
Negombo,4.32,2.0,3.0,3.8,2024-08-28T00:00:00.000Z
Minuwangoda,3.43,2.0,3.0,3.8,2024-08-29T00:00:00.000Z
Gampaha,4.46,2.0,3.0,3.8,2024-08-29T00:00:00.000Z
Ja-Ela,3.65,2.0,3.0,3.8,2024-08-29T00:00:00.000Z
Negombo,3.63,2.0,3.0,3.8,2024-08-29T00:00:00.000Z
Minuwangoda,4.32,2.0,3.0,3.8,2024-08-30T00:00:00.000Z
Gampaha,4.81,2.0,3.0,3.8,2024-08-30T00:00:00.000Z
Ja-Ela,4.30,2.0,3.0,3.8,2024-08-30T00:00:00.000Z
Negombo,3.19,2.0,3.0,3.8,2024-08-30T00:00:00.000Z
Minuwangoda,4.41,2.0,3.0,3.8,2024-08-31T00:00:00.000Z
Gampaha,3.32,2.0,3.0,3.8,2024-08-31T00:00:00.000Z
Ja-Ela,3.41,2.0,3.0,3.8,2024-08-31T00:00:00.000Z
Negombo,4.22,2.0,3.0,3.8,2024-08-31T00:00:00.000Z
Minuwangoda,3.91,2.0,3.0,3.8,2024-09-01T00:00:00.000Z
Gampaha,3.67,2.0,3.0,3.8,2024-09-01T00:00:00.000Z
Ja-Ela,4.95,2.0,3.0,3.8,2024-09-01T00:00:00.000Z
Negombo,3.46,2.0,3.0,3.8,2024-09-01T00:00:00.000Z
Minuwangoda,3.64,2.0,3.0,3.8,2024-09-02T00:00:00.000Z
Gampaha,4.98,2.0,3.0,3.8,2024-09-02T00:00:00.000Z
Ja-Ela,3.64,2.0,3.0,3.8,2024-09-02T00:00:00.000Z
Negombo,3.06,2.0,3.0,3.8,2024-09-02T00:00:00.000Z
Minuwangoda,3.96,2.0,3.0,3.8,2024-09-03T00:00:00.000Z
Gampaha,4.66,2.0,3.0,3.8,2024-09-03T00:00:00.000Z
Ja-Ela,3.34,2.0,3.0,3.8,2024-09-03T00:00:00.000Z
Negombo,4.78,2.0,3.0,3.8,2024-09-03T00:00:00.000Z
Minuwangoda,4.11,2.0,3.0,3.8,2024-09-04T00:00:00.000Z
Gampaha,4.75,2.0,3.0,3.8,2024-09-04T00:00:00.000Z
Ja-Ela,4.47,2.0,3.0,3.8,2024-09-04T00:00:00.000Z
Negombo,4.02,2.0,3.0,3.8,2024-09-04T00:00:00.000Z
Minuwangoda,3.02,2.0,3.0,3.8,2024-09-05T00:00:00.000Z
Gampaha,4.86,2.0,3.0,3.8,2024-09-05T00:00:00.000Z
Ja-Ela,3.56,2.0,3.0,3.8,2024-09-05T00:00:00.000Z
Negombo,4.04,2.0,3.0,3.8,2024-09-05T00:00:00.000Z
Minuwangoda,3.28,2.0,3.0,3.8,2024-09-06T00:00:00.000Z
Gampaha,3.44,2.0,3.0,3.8,2024-09-06T00:00:00.000Z
Ja-Ela,3.32,2.0,3.0,3.8,2024-09-06T00:00:00.000Z
Negombo,4.44,2.0,3.0,3.8,2024-09-06T00:00:00.000Z
Minuwangoda,4.03,2.0,3.0,3.8,2024-09-07T00:00:00.000Z
Gampaha,3.96,2.0,3.0,3.8,2024-09-07T00:00:00.000Z
Ja-Ela,4.10,2.0,3.0,3.8,2024-09-07T00:00:00.000Z
Negombo,3.86,2.0,3.0,3.8,2024-09-07T00:00:00.000Z
Minuwangoda,4.53,2.0,3.0,3.8,2024-09-08T00:00:00.000Z
Gampaha,3.74,2.0,3.0,3.8,2024-09-08T00:00:00.000Z
Ja-Ela,3.38,2.0,3.0,3.8,2024-09-08T00:00:00.000Z
Negombo,3.47,2.0,3.0,3.8,2024-09-08T00:00:00.000Z
Minuwangoda,3.27,2.0,3.0,3.8,2024-09-09T00:00:00.000Z
Gampaha,4.97,2.0,3.0,3.8,2024-09-09T00:00:00.000Z
Ja-Ela,3.72,2.0,3.0,3.8,2024-09-09T00:00:00.000Z
Negombo,4.69,2.0,3.0,3.8,2024-09-09T00:00:00.000Z
Minuwangoda,3.06,2.0,3.0,3.8,2024-09-10T00:00:00.000Z
Gampaha,3.98,2.0,3.0,3.8,2024-09-10T00:00:00.000Z
Ja-Ela,4.51,2.0,3.0,3.8,2024-09-10T00:00:00.000Z
Negombo,3.29,2.0,3.0,3.8,2024-09-10T00:00:00.000Z
Minuwangoda,3.09,2.0,3.0,3.8,2024-09-11T00:00:00.000Z
Gampaha,4.05,2.0,3.0,3.8,2024-09-11T00:00:00.000Z
Ja-Ela,4.75,2.0,3.0,3.8,2024-09-11T00:00:00.000Z
Negombo,4.97,2.0,3.0,3.8,2024-09-11T00:00:00.000Z
Minuwangoda,4.97,2.0,3.0,3.8,2024-09-12T00:00:00.000Z
Gampaha,3.39,2.0,3.0,3.8,2024-09-12T00:00:00.000Z
Ja-Ela,3.05,2.0,3.0,3.8,2024-09-12T00:00:00.000Z
Negombo,4.68,2.0,3.0,3.8,2024-09-12T00:00:00.000Z
Minuwangoda,3.10,2.0,3.0,3.8,2024-09-13T00:00:00.000Z
Gampaha,3.07,2.0,3.0,3.8,2024-09-13T00:00:00.000Z
Ja-Ela,3.31,2.0,3.0,3.8,2024-09-13T00:00:00.000Z
Negombo,3.46,2.0,3.0,3.8,2024-09-13T00:00:00.000Z
Minuwangoda,3.58,2.0,3.0,3.8,2024-09-14T00:00:00.000Z
Gampaha,3.84,2.0,3.0,3.8,2024-09-14T00:00:00.000Z
Ja-Ela,3.44,2.0,3.0,3.8,2024-09-14T00:00:00.000Z
Negombo,4.21,2.0,3.0,3.8,2024-09-14T00:00:00.000Z
Minuwangoda,4.78,2.0,3.0,3.8,2024-09-15T00:00:00.000Z
Gampaha,3.04,2.0,3.0,3.8,2024-09-15T00:00:00.000Z
Ja-Ela,3.72,2.0,3.0,3.8,2024-09-15T00:00:00.000Z
Negombo,4.02,2.0,3.0,3.8,2024-09-15T00:00:00.000Z
Minuwangoda,3.48,2.0,3.0,3.8,2024-09-16T00:00:00.000Z
Gampaha,4.35,2.0,3.0,3.8,2024-09-16T00:00:00.000Z
Ja-Ela,3.29,2.0,3.0,3.8,2024-09-16T00:00:00.000Z
Negombo,4.95,2.0,3.0,3.8,2024-09-16T00:00:00.000Z
Minuwangoda,4.77,2.0,3.0,3.8,2024-09-17T00:00:00.000Z
Gampaha,4.74,2.0,3.0,3.8,2024-09-17T00:00:00.000Z
Ja-Ela,4.75,2.0,3.0,3.8,2024-09-17T00:00:00.000Z
Negombo,3.73,2.0,3.0,3.8,2024-09-17T00:00:00.000Z
Minuwangoda,4.03,2.0,3.0,3.8,2024-09-18T00:00:00.000Z
Gampaha,4.98,2.0,3.0,3.8,2024-09-18T00:00:00.000Z
Ja-Ela,4.00,2.0,3.0,3.8,2024-09-18T00:00:00.000Z
Negombo,3.16,2.0,3.0,3.8,2024-09-18T00:00:00.000Z
Minuwangoda,4.10,2.0,3.0,3.8,2024-09-19T00:00:00.000Z
Gampaha,4.65,2.0,3.0,3.8,2024-09-19T00:00:00.000Z
Ja-Ela,4.24,2.0,3.0,3.8,2024-09-19T00:00:00.000Z
Negombo,3.81,2.0,3.0,3.8,2024-09-19T00:00:00.000Z
